fy,lea,district,geo_level,grade_span,placement_at_start,cohort_cnt,no_iep_cnt,no_iep_pct,included_cnt,included_pct,sub_separate_cnt,sub_separate_pct,out_of_district_cnt,out_of_district_pct,unaccounted_cnt,reconciles,doc_id
2023,06160000,Ayer Shirley,district,K-12,Inclusive Setting,149,41,0.275,101,0.678,4,0.027,3,0.02,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,06160000,Ayer Shirley,district,K-12,Substantially Separate Classroom,20,0,0.0,10,0.5,6,0.3,4,0.2,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,06160000,Ayer Shirley,district,K-2,Inclusive Setting,40,13,0.325,27,0.675,0,0.0,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,06160000,Ayer Shirley,district,K-2,Substantially Separate Classroom,7,0,0.0,4,0.571,3,0.429,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,06730000,Groton-Dunstable,district,K-12,Inclusive Setting,227,62,0.273,154,0.678,5,0.022,6,0.026,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,06730000,Groton-Dunstable,district,K-12,Substantially Separate Classroom,23,1,0.043,5,0.217,16,0.696,1,0.043,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,06730000,Groton-Dunstable,district,K-2,Inclusive Setting,58,10,0.172,46,0.793,1,0.017,1,0.017,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,06730000,Groton-Dunstable,district,K-2,Substantially Separate Classroom,5,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,07350000,North Middlesex,district,K-12,Inclusive Setting,326,28,0.086,274,0.84,9,0.028,15,0.046,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,07350000,North Middlesex,district,K-12,Substantially Separate Classroom,77,4,0.052,38,0.494,23,0.299,12,0.156,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,07350000,North Middlesex,district,K-2,Inclusive Setting,62,9,0.145,47,0.758,4,0.065,2,0.032,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,07350000,North Middlesex,district,K-2,Substantially Separate Classroom,27,2,0.074,17,0.63,7,0.259,1,0.037,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2024,00000000,State,state,K-12,Inclusive Setting,82594,16082,0.195,60253,0.73,4077,0.049,2137,0.026,45,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2024,00000000,State,state,K-12,Substantially Separate Classroom,15309,231,0.015,3422,0.224,9748,0.637,1861,0.122,47,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2024,00000000,State,state,K-2,Inclusive Setting,20317,4597,0.226,13949,0.687,1385,0.068,380,0.019,6,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
