fy,section,department,printed_from,printed_to,pdf_from,pdf_to,state,as_printed
2017,Town Clerk,Fiscal Year 2017 Omnibus Budget,168,169,168,169,report,Fiscal Year 2017 Omnibus Budget 168
2017,Town Clerk,"Special Town Meeting, November 28, 2017",170,185,170,185,report,"Special Town Meeting, November 28, 2017 170"
2017,Town Clerk,"Annual Town Election, May 20, 2017",186,188,186,188,report,"Annual Town Election, May 20, 2017 186"
2017,Town Clerk,"Special State Primary, November 5, 2017",189,189,189,189,report,"Special State Primary, November 5, 2017 189"
2017,Town Clerk,"Special State Election, December 7, 2017",189,191,189,191,report,"Special State Election, December 7, 2017 189"
2017,Miscellaneous Information,Town & School Emloyee Gross Wages,192,198,192,198,report,Town & School Emloyee Gross Wages... 192
2017,Miscellaneous Information,Town Office Hours,199,199,199,199,report,Town Office Hours........... 199
2017,Miscellaneous Information,Boards/Committees/Commissions Meeting Schedules,200,200,200,200,report,Boards/Committees/Commissions Meeting Schedules.. 200
2018,Table Of Contents,LUNENBURG PROFILE,6,6,6,6,report,LUNENBURG PROFILE 6
2018,Table Of Contents,ELECTED OFFICIALS- STATE & LOCAL,7,9,7,9,report,ELECTED OFFICIALS- STATE & LOCAL 7
2018,Table Of Contents,APPOINTED OFFICIALS,10,17,10,17,report,APPOINTED OFFICIALS 10
2018,Administration,TOWN MANAGER REPORT,18,25,18,25,report,TOWN MANAGER REPORT 18
2018,Accountant,"Balance Sheet for year ending June 30, 2018",26,26,26,26,report,"Balance Sheet for year ending June 30, 2018 26"
2018,Accountant,General Funds Revenue Chart,27,28,27,28,report,General Funds Revenue Chart 27
2018,Accountant,FY 2018 Receipts 28 General Fund Expenditures Chart,29,29,29,29,report,FY 2018 Receipts 28 General Fund Expenditures Chart 29
2018,Accountant,General Fund Appropriations Summary & Classification of Accounts,30,34,30,34,report,General Fund Appropriations Summary & Classification of Accounts 30
2018,Accountant,Special Revenue Funds,35,39,35,39,report,Special Revenue Funds 35
2018,Accountant,Capital Projects Fund,40,40,40,40,report,Capital Projects Fund 40
2018,Accountant,BOARD OF ASSESSORS,41,42,41,42,report,BOARD OF ASSESSORS 41
2018,Treasurer/Collector,"Treasurer's Cash as of June 30, 2018",43,43,43,43,report,"Treasurer's Cash as of June 30, 2018 43"
2018,Treasurer/Collector,Trust Funds,44,46,44,46,report,Trust Funds 44
2018,Treasurer/Collector,Five Year Outstanding Debt,47,47,47,47,report,Five Year Outstanding Debt 47
2018,Treasurer/Collector,"Debt Repayment Schedule as of June 30, 2018",48,51,48,51,report,"Debt Repayment Schedule as of June 30, 2018 48"
2018,Treasurer/Collector,Collection of Taxes,52,55,52,55,report,Collection of Taxes 52
2018,Town Services,Architectural Preservation District Commission,56,56,56,56,report,Architectural Preservation District Commission 56
2018,Town Services,Building Department,56,56,56,56,report,Building Department 56
2018,Town Services,Cemetery Commission,57,58,57,58,report,Cemetery Commission 57
2018,Town Services,Conservation Commission,59,59,59,59,report,Conservation Commission 59
2018,Town Services,Council on Aging,60,60,60,60,report,Council on Aging 60
2018,Town Services,Senior Property Tax Work Off Program Sewer Commission,4,4,4,4,report,Senior Property Tax Work Off Program Sewer Commission 4
2018,Protection Of Persons & Property,Board of Health,90,90,90,90,report,Board of Health 90
2018,Protection Of Persons & Property,Nashoba Associated Boards of Health,91,95,91,95,report,Nashoba Associated Boards of Health ... 91
2018,Protection Of Persons & Property,Fire Department,96,98,96,98,report,Fire Department 96
2018,Protection Of Persons & Property,Police Department,99,103,99,103,report,Police Department 99
2018,Planning,Capital Planning Committee,104,104,104,104,report,Capital Planning Committee .... 104
2018,Planning,Planning Board,105,105,105,105,report,Planning Board 105
2018,Planning,Ad Hoc Open Space Advisory Committee,106,106,106,106,report,Ad Hoc Open Space Advisory Committee 106
2018,Planning,Zoning Board of Appeals,107,109,107,109,report,Zoning Board of Appeals 107
2018,Education,LUNENBURG PUBLIC SCHOOLS,110,133,110,133,report,LUNENBURG PUBLIC SCHOOLS 110
2018,Montachusett Regional Vocational,TECHNICAL SCHOOL,134,151,134,151,report,TECHNICAL SCHOOL 134
2018,Town Clerk,"Annual Town Meeting May 5, 2018",152,154,152,154,report,"Annual Town Meeting May 5, 2018 152"
