fy,lea,district,geo_level,grades,grades_level,student_group,student_group_level,indicator_category,indicator,printing,denominator_cnt,measure_cnt,measure_pct,value_type,doc_id
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr enrolled in one or more AP / IB courses,1,26,2,8.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr who took AP courses and participated in one or more AP tests,1,2,,,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,ASSESSMENTS (AP and SAT),SAT average score - Mathematics,1,1,,,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,ASSESSMENTS (AP and SAT),SAT average score - Reading,1,1,,,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,CONTEXT,Stability rate (enrolled all year),1,266,250,94.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,CONTEXT,Student Enrollment,1,1605,261,16.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,9,7,77.8,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,High school graduates enrolled in 2-year postsecondary education,1,18,1,5.6000000000000005,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,High school graduates enrolled in 4-year postsecondary education,1,18,8,44.4,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,Students enrolled in postsecondary education in the immediate fall after high school graduation,1,18,9,50.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,PROGRAM OF STUDY,12th graders passing a full year of mathematics coursework,1,9,8,88.9,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,PROGRAM OF STUDY,12th graders passing a full year of science and technology/engineering coursework,1,9,3,33.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,PROGRAM OF STUDY,9th graders completing and passing all courses,1,15,10,66.7,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,PROGRAM OF STUDY,High school graduates who completed MassCore,1,7,7,100.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,SPECIAL EDUCATION STAFF,Special education director FTE,1,,,1.0,FTE,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,SPECIAL EDUCATION STAFF,Special education paraprofessionals per 100 SWD,1,41.5,249,16.7,FTE per 100 SWD,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,SPECIAL EDUCATION STAFF,Special education service FTE per 100 SWD,1,1,249,2.5,FTE per 100 SWD,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,SPECIAL EDUCATION STAFF,Special education support FTE per 100 SWD,1,2,249,1.2,FTE per 100 SWD,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,SPECIAL EDUCATION STAFF,Special education teachers per 100 SWD,1,5,249,0.5,FTE per 100 SWD,sources/state-dese/dese-sped-indicators.xlsx
