id,kind,subkind,code,name,owner,owner_basis,relates_to,purpose,authority,trend_label,report
rev-433800,revenue,fee or permit,433800,COPY FEES,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-433900,revenue,fee or permit,433900,ST LISTS,town-clerk,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-434000,revenue,fee or permit,434000,VOTE LIST,town-clerk,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-434100,revenue,fee or permit,434100,HIST BOOKS,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-434200,revenue,fee or permit,434200,GENEOLOGY,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-434300,revenue,fee or permit,434300,PYR,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-434400,revenue,fee or permit,434400,DIS CHECK,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-434500,revenue,fee or permit,434500,COBRA FEES,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-434600,revenue,fee or permit,434600,RESEARCH,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-434700,revenue,fee or permit,434700,PAYPHONE,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-434800,revenue,fee or permit,434800,COPIER FEE,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-434900,revenue,fee or permit,434900,ADV FEES,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-435000,revenue,fee or permit,435000,WKND BURY,cemetery-commission,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-435100,revenue,fee or permit,435100,CC REC FEE,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-435200,revenue,fee or permit,435200,FORM OF IN,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-435700,revenue,fee or permit,435700,CELL TOWER,select-board,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-435800,revenue,fee or permit,435800,JONES HSE,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-435900,revenue,fee or permit,435900,SUB RULES,planning-board,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-436000,revenue,fee or permit,436000,ZONING BYL,planning-board,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-436200,revenue,fee or permit,436200,SR RENTAL,parks-commission,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-436300,revenue,fee or permit,436300,BUS RENTAL,treasurer-collector,"the department that raises it, by the account name",school-committee,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-436700,revenue,fee or permit,436700,LAND LEASE,select-board,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-436800,revenue,fee or permit,436800,40B RULES,planning-board,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
