board,board_slug,date,kind,file_id,url,first_seen,basis
Agricultural Commission,agricultural-commission,2024-01-18,minutes,6361,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01182024-6361,,seed
Agricultural Commission,agricultural-commission,2024-03-07,agenda,6420,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03072024-6420,,seed
Agricultural Commission,agricultural-commission,2024-03-07,minutes,6420,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03072024-6420,,seed
Agricultural Commission,agricultural-commission,2024-03-21,agenda,6485,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03212024-6485,,seed
Agricultural Commission,agricultural-commission,2024-04-18,agenda,6530,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04182024-6530,,seed
Agricultural Commission,agricultural-commission,2024-05-16,agenda,6576,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05162024-6576,,seed
Agricultural Commission,agricultural-commission,2024-06-03,agenda,6592,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06032024-6592,,seed
Agricultural Commission,agricultural-commission,2024-06-03,minutes,6592,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06032024-6592,,seed
Agricultural Commission,agricultural-commission,2024-06-17,agenda,6619,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06172024-6619,,seed
Agricultural Commission,agricultural-commission,2024-06-17,minutes,6619,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06172024-6619,,seed
Agricultural Commission,agricultural-commission,2024-07-08,agenda,6642,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07082024-6642,,seed
Agricultural Commission,agricultural-commission,2024-07-08,minutes,6642,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07082024-6642,,seed
Agricultural Commission,agricultural-commission,2024-07-29,agenda,6680,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07292024-6680,,seed
Agricultural Commission,agricultural-commission,2024-07-29,minutes,6680,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07292024-6680,,seed
Agricultural Commission,agricultural-commission,2024-08-12,agenda,6700,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08122024-6700,,seed
