dor_code,municipality,fy,sf_value_total,sf_parcels,avg_sf_value,avg_sf_bill,bill_pct_of_value,income_per_capita,bill_pct_of_income,rank,source_file,sha256
003,Acushnet,2002,425157100,2954,143926,2208,1.53,,,236,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2001,414153700,2917,141979,1843,1.3,,,267,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2000,354857200,2853,124380,1753,1.41,,,268,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,1999,336174600,2778,121013,1677,1.39,,,272,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,1998,306979600,2694,113949,1614,1.42,,,275,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,1997,315196100,2638,119483,1575,1.32,,,272,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,1996,308908500,2597,118948,1515,1.27,,,272,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,1995,296940300,2554,116265,1457,1.25,,,273,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,1994,292886900,2521,116179,1414,1.22,,,264,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,1993,303516800,2485,122140,1369,1.12,,,261,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,1992,313841700,2476,126754,1321,1.04,,,259,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,1991,332343000,2440,136206,1286,0.94,,,200,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,1990,285857000,2382,120007,1189,0.99,,,237,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
