dataset,edition,report_fy,document,page,copy,plan_fiscal_year,line_no,project,cost,cumulative,printed_total,columns_as_printed,status,reconciliation
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,160,town meeting article,2020,1,FD18-01 Fire Vital Sign Airway Monitors Equipment,15000.0,,1684100.0,"Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,160,town meeting article,2020,2,"PD17-01-A Police Police Vehicle, 1 marked Vehicle",68000.0,,1684100.0,"Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,160,town meeting article,2020,3,"PD17-01-B Police Police Vehicle, 1 unmarked replacement Vehicle",48000.0,,1684100.0,"Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,160,town meeting article,2020,4,FD16-15 Fire Engine 4 Replacement (1995) Vehicle,685000.0,,1684100.0,"Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,160,town meeting article,2020,5,LPS19-01 Schools PRI/THES Wifi Upgrade Equipment,19600.0,,1684100.0,"Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,160,town meeting article,2020,6,GG19-01 Town Clerk Voting Machines Equipment,26500.0,,1684100.0,"Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,160,town meeting article,2020,7,"LPS16-19-B Schools THMS, Asbestos Abatement/ Ceiling Replacement Facilities",162000.0,,1684100.0,"Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,160,town meeting article,2020,8,FM17-10B DPW Fuel Tanks at DPW Facilities,220000.0,,1684100.0,"Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,160,town meeting article,2020,9,PD18-02 Police Patrol Rifles and Shotguns Equipment,16000.0,,1684100.0,"Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,160,town meeting article,2020,10,GG19-02 Planning Master Plan Planning,50000.0,,1684100.0,"Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,160,town meeting article,2020,11,"FD17-02 Fire Rescue 2, Replacement 19R2 (2008) Vehicle",310000.0,,1684100.0,"Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,160,town meeting article,2020,12,"FM16-15 DPW Teen Center, Paint Exterior Facilities",12000.0,,1684100.0,"Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,160,town meeting article,2020,13,FM19-01 DPW Parks- Wallis Park Bball Court and Fence Walts Par satCour and Fence Facilities,36000.0,,1684100.0,"Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,160,town meeting article,2020,14,"FM16-01 DPW PSB, Bldg Automation System Facilities",16000.0,,1684100.0,"Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2020,2020,4127-fy-2020-annual-town-report.pdf,96,committee report,2021,1,"FM20-01 DPW Town Hall, ADA Ramp/Sidewalk Facilities",22000.0,,1329133.0,"Total Capital Plan $1,329,133",checked,"21 project rows sum to 1,329,133.00 = the total the page prints"
capital_plan,FY2020,2020,4127-fy-2020-annual-town-report.pdf,96,committee report,2021,2,INFRA20-01 Highway Flat Hill Culvert Design Infrastructure,112500.0,,1329133.0,"Total Capital Plan $1,329,133",checked,"21 project rows sum to 1,329,133.00 = the total the page prints"
capital_plan,FY2020,2020,4127-fy-2020-annual-town-report.pdf,96,committee report,2021,3,LPS16-19-C Schools THES Asbestos Abatement/Ceiling Replacement Facilities,123500.0,,1329133.0,"Total Capital Plan $1,329,133",checked,"21 project rows sum to 1,329,133.00 = the total the page prints"
capital_plan,FY2020,2020,4127-fy-2020-annual-town-report.pdf,96,committee report,2021,4,"PD19-01 Police Police Vehicle, 1 Marked New Vehicle",67000.0,,1329133.0,"Total Capital Plan $1,329,133",checked,"21 project rows sum to 1,329,133.00 = the total the page prints"
capital_plan,FY2020,2020,4127-fy-2020-annual-town-report.pdf,96,committee report,2021,5,"FD17-05-B Fire SCBA Complement, Replacement (1/2) Equipment",115000.0,,1329133.0,"Total Capital Plan $1,329,133",checked,"21 project rows sum to 1,329,133.00 = the total the page prints"
capital_plan,FY2020,2020,4127-fy-2020-annual-town-report.pdf,96,committee report,2021,6,"PD16-14 Police Police Vehicle, 1 Marked Replacement Vehicle",67000.0,,1329133.0,"Total Capital Plan $1,329,133",checked,"21 project rows sum to 1,329,133.00 = the total the page prints"
