"sy","dist_code","dist_name","ind_cat","ind_subcat","ind_value","ind_value_type"
"2017","01620000","Lunenburg","Expenditures Per Pupil","Administration","514.0","Amount"
"2017","01620000","Lunenburg","Expenditures Per Pupil","Guidance, Counseling and Testing","355.0","Amount"
"2017","01620000","Lunenburg","Expenditures Per Pupil","Instructional Leadership","793.0","Amount"
"2017","01620000","Lunenburg","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","157.0","Amount"
"2017","01620000","Lunenburg","Expenditures Per Pupil","Insurance, Retirement Programs and Other","2511.0","Amount"
"2017","01620000","Lunenburg","Expenditures Per Pupil","Operations and Maintenance","914.0","Amount"
"2017","01620000","Lunenburg","Expenditures Per Pupil","Other Teaching Services","1315.0","Amount"
"2017","01620000","Lunenburg","Expenditures Per Pupil","Professional Development","113.0","Amount"
"2017","01620000","Lunenburg","Expenditures Per Pupil","Pupil Services","1123.0","Amount"
"2017","01620000","Lunenburg","Expenditures Per Pupil","Teachers","5185.0","Amount"
"2017","01620000","Lunenburg","Expenditures Per Pupil","Total Expenditures","13209.0","Amount"
"2017","01620000","Lunenburg","Expenditures Per Pupil","Total In-District Expenditures","12980.0","Amount"
"2016","01620000","Lunenburg","Student Enrollment","In-District FTE Pupils","1567.3","Count"
"2016","01620000","Lunenburg","Student Enrollment","Out-of-District FTE Pupils","142.5","Count"
"2016","01620000","Lunenburg","Student Enrollment","Total FTE Pupils","1709.8","Count"
"2016","01620000","Lunenburg","Student Demographics","English learner % Headcount","1.5","Percent"
"2016","01620000","Lunenburg","Student Demographics","Low-Income % Headcount","14.7","Percent"
"2016","01620000","Lunenburg","Student Demographics","Student Headcount","1567.0","Count"
"2016","01620000","Lunenburg","Student Demographics","Students with disabilities % Headcount","18.8","Percent"
"2016","01620000","Lunenburg","Teacher Salaries","Teacher FTE","104.7","Count"
"2016","01620000","Lunenburg","Teacher Salaries","Teachers per 100 FTE students","6.7","Count"
"2016","01620000","Lunenburg","Other Staff","Instructional Coach FTE","0.0","Count"
"2016","01620000","Lunenburg","Other Staff","Instructional Support FTE","8.3","Count"
"2016","01620000","Lunenburg","Other Staff","Paraprofessional FTE","51.0","Count"
"2016","01620000","Lunenburg","Other Staff","Special Education Instructional Support FTE","1.0","Count"
"2016","01620000","Lunenburg","MCAS Performance","ELA Grade 10 % Meets or Exceeds","96.3","Percent"
"2016","01620000","Lunenburg","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","72.1","Percent"
"2016","01620000","Lunenburg","MCAS Performance","Math Grade 10 % Meets or Exceeds","87.0","Percent"
"2016","01620000","Lunenburg","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","67.1","Percent"
"2016","01620000","Lunenburg","Expenditures Per Pupil","Administration","478.0","Amount"
"2016","01620000","Lunenburg","Expenditures Per Pupil","Guidance, Counseling and Testing","358.0","Amount"
"2016","01620000","Lunenburg","Expenditures Per Pupil","Instructional Leadership","763.0","Amount"
"2016","01620000","Lunenburg","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","132.0","Amount"
"2016","01620000","Lunenburg","Expenditures Per Pupil","Insurance, Retirement Programs and Other","2247.0","Amount"
"2016","01620000","Lunenburg","Expenditures Per Pupil","Operations and Maintenance","887.0","Amount"
"2016","01620000","Lunenburg","Expenditures Per Pupil","Other Teaching Services","1286.0","Amount"
"2016","01620000","Lunenburg","Expenditures Per Pupil","Professional Development","66.0","Amount"
"2016","01620000","Lunenburg","Expenditures Per Pupil","Pupil Services","1107.0","Amount"
"2016","01620000","Lunenburg","Expenditures Per Pupil","Teachers","5087.0","Amount"
"2016","01620000","Lunenburg","Expenditures Per Pupil","Total Expenditures","12982.0","Amount"
"2016","01620000","Lunenburg","Expenditures Per Pupil","Total In-District Expenditures","12412.0","Amount"
"2015","01620000","Lunenburg","Student Enrollment","In-District FTE Pupils","1563.3","Count"
"2015","01620000","Lunenburg","Student Enrollment","Out-of-District FTE Pupils","160.8","Count"
"2015","01620000","Lunenburg","Student Enrollment","Total FTE Pupils","1724.1","Count"
"2015","01620000","Lunenburg","Student Demographics","English learner % Headcount","1.1","Percent"
"2015","01620000","Lunenburg","Student Demographics","Low-Income % Headcount","12.0","Percent"
"2015","01620000","Lunenburg","Student Demographics","Student Headcount","1557.0","Count"
"2015","01620000","Lunenburg","Student Demographics","Students with disabilities % Headcount","18.2","Percent"
"2015","01620000","Lunenburg","Teacher Salaries","Teacher FTE","101.6","Count"
"2015","01620000","Lunenburg","Teacher Salaries","Teachers per 100 FTE students","6.5","Count"
"2015","01620000","Lunenburg","Other Staff","Instructional Coach FTE","0.0","Count"
"2015","01620000","Lunenburg","Other Staff","Instructional Support FTE","10.8","Count"
"2015","01620000","Lunenburg","Other Staff","Paraprofessional FTE","31.0","Count"
"2015","01620000","Lunenburg","Other Staff","Special Education Instructional Support FTE","2.0","Count"
